Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
OmGiTzRMika,560,7708,OTH,PSN,R. Mika,69,0,0,61,42,78,23,58,34,81,33,61,21,75,54,65,26,62,48,75,33,79,39,66,48,66,36,75,33,60,23,66,24,60,15
Fuhaj1n,528,8224,BEL,PSN,Nash,69,81,16,84,19,62,35,66,36,61,21,64,14,49,51,52,17,85,48,88,42,63,38,51,58,77,22,73,19,70,24,87,55,75,12
Techular,385,7576,GBR,STEAM,Birdie,74,100,2,60,28,66,18,73,15,65,20,64,17,66,62,75,8,75,28,91,23,89,19,79,29,50,22,100,14,100,11,76,52,88,17
DrKongFu,618,8496,USA,PSN,Chun Li,75,80,25,75,20,72,50,78,33,75,20,50,18,73,64,75,20,74,66,77,40,85,41,57,28,71,49,71,38,76,17,84,78,100,11
Th3fAcKiNgKiNg,308,7773,OTH,PSN,Dhalsim,90,0,0,100,9,90,11,100,14,87,16,100,11,85,21,66,3,88,26,85,27,91,12,86,37,79,24,100,22,88,9,93,49,94,17
UA_Saionide,387,7772,USA,PSN,Ken,87,85,7,92,13,90,21,83,31,100,8,84,19,90,31,100,6,79,29,80,31,96,26,87,41,84,19,87,33,100,9,82,47,93,16
mattypie,345,7752,USA,STEAM,Chun Li,82,0,0,94,18,64,28,82,23,90,10,84,19,91,24,100,9,77,27,83,12,95,22,88,25,79,24,86,22,73,19,78,42,78,19
RanellyBelly,512,7722,USA,PSN,Chun Li,78,85,7,80,36,68,19,74,31,80,30,77,22,77,35,86,15,95,40,77,35,76,25,76,47,75,45,65,29,64,17,89,55,75,24
BCW_Pabbs,400,7764,USA,PSN,Birdie,83,100,2,80,20,72,22,82,28,95,22,91,12,96,31,66,6,92,38,72,22,74,31,85,35,86,37,85,27,38,13,92,39,78,14
snackdog99,128,7772,USA,PSN,R. Mika,87,100,3,100,1,0,0,100,1,0,1,100,2,100,3,0,0,100,5,60,5,83,6,90,11,100,2,0,1,100,1,100,5,100,2
ShinobiRain,376,7806,JPN,PSN,Ryu,80,100,20,81,22,83,30,84,13,61,13,66,18,80,20,57,7,75,28,86,30,88,27,64,28,88,17,77,27,83,24,88,43,77,9
bobby_syoryuken,843,8995,JPN,STEAM,Ryu,72,100,6,66,27,64,51,66,69,79,49,63,22,72,48,56,16,74,78,66,62,79,44,71,85,64,59,72,55,86,36,79,112,91,24
Townerjamz,482,7961,OTH,PSN,Dhalsim,77,78,19,63,85,73,15,93,29,83,12,88,17,73,23,100,11,67,37,84,25,87,24,88,43,75,48,66,36,66,6,87,31,100,15
FightCoachFight,363,7918,USA,PSN,Birdie,90,0,0,96,25,100,17,86,22,78,19,75,20,88,18,92,13,93,30,86,29,91,24,82,29,95,24,89,19,91,12,97,38,100,8
NeverKnowsBest,575,7398,USA,STEAM,Ken,66,83,12,65,29,73,19,68,41,51,33,31,22,65,52,70,10,70,51,72,40,69,36,59,49,56,30,65,23,55,29,81,79,72,18
