Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
MFJammy,632,7796,USA,PSN,Cammy,75,85,28,84,38,68,38,81,27,62,32,51,29,69,42,88,17,58,39,68,38,70,44,80,51,76,43,83,43,81,22,90,85,62,16
Damselfly,290,7975,JPN,PSN,Dhalsim,85,100,4,100,5,89,19,91,23,75,8,93,16,86,30,84,13,95,22,88,34,60,15,75,24,86,22,70,10,73,15,90,22,85,7
KUJIKARASU-TARO,528,7787,JPN,PSN,Ken,73,100,8,68,16,71,32,70,34,65,23,100,5,73,38,76,13,67,56,74,51,61,36,58,34,78,32,77,35,77,22,83,73,93,15
ANBU_Znice,229,7927,USA,PSN,R. Mika,78,58,12,82,17,80,15,62,8,85,14,100,5,87,24,77,9,76,13,75,12,80,10,90,11,52,23,81,11,100,3,86,30,77,9
Madjestik,137,7625,FRA,PSN,Chun Li,83,50,4,0,0,90,11,93,15,0,0,100,3,100,11,100,3,78,14,61,13,100,2,83,12,72,11,83,12,88,9,100,8,77,9
cry_plus,652,6705,USA,PSN,Nash,73,78,23,67,40,72,33,65,20,70,31,55,45,81,37,87,8,83,37,84,59,88,44,52,88,61,34,84,58,66,15,83,65,80,15
OwlHoHo,304,7511,JPN,STEAM,Cammy,78,0,0,78,14,77,22,71,14,73,15,73,15,83,18,85,7,83,30,92,28,90,21,80,31,83,24,86,15,57,19,70,24,42,7
SPAMMERRR,220,7580,AUS,PSN,Nash,76,100,7,66,6,100,5,50,4,42,7,50,2,66,12,100,1,76,17,74,27,20,5,74,27,75,8,66,9,66,9,96,30,100,11
kongtrex,100,7479,KOR,STEAM,Dictator,81,80,5,66,3,87,8,80,5,0,0,66,3,69,13,83,6,66,9,100,4,78,14,66,3,66,6,100,7,100,2,100,10,100,2
RybackRN,501,8250,USA,PSN,Nash,81,0,0,88,25,69,42,74,31,59,27,72,25,90,51,53,13,92,40,91,34,86,46,94,34,76,30,80,31,100,12,80,45,92,13
Alexis2904,354,7478,BRA,PSN,Fang,80,0,0,66,15,75,16,86,15,85,14,72,22,85,42,40,5,94,17,83,37,77,22,88,42,74,27,68,19,69,13,90,32,75,16
Cowabunga,100,7508,FRA,STEAM,R. Mika,81,90,10,62,8,80,5,80,5,100,3,66,6,91,12,0,0,66,9,83,6,100,1,100,5,50,4,100,2,0,0,80,20,100,4
KSHATRIYA,378,7545,JPN,STEAM,Dhalsim,76,75,8,100,14,82,17,73,15,75,12,75,4,80,15,45,11,100,11,75,41,55,9,75,24,76,13,66,12,86,22,71,39,75,4
MK-TimsaH,257,8527,TUR,STEAM,Nash,73,83,12,58,12,62,8,66,12,92,14,60,10,65,20,54,11,82,23,68,16,50,10,80,30,85,7,85,14,85,7,72,40,81,11
hatabou1990,470,7478,JPN,PSN,Dictator,81,0,0,92,14,76,30,81,32,83,12,100,11,90,31,55,9,83,43,81,48,78,19,80,45,82,47,69,26,65,32,87,62,100,9
rakkan,379,7825,JPN,PSN,Nash,80,100,12,77,22,65,20,72,22,80,21,69,13,66,24,58,12,96,29,89,29,64,14,80,36,83,30,87,16,75,12,89,47,77,18
Soriku16,647,9210,USA,PSN,Chun Li,74,75,37,68,45,83,48,72,37,64,28,72,22,82,47,52,17,77,61,75,33,75,36,81,58,75,32,57,47,64,17,83,65,87,16
NTT-_-,407,8264,JPN,PSN,Chun Li,69,80,10,72,11,58,29,65,20,73,19,53,13,73,30,66,9,88,34,54,22,80,25,59,44,72,25,68,22,42,21,84,53,58,12
MossHD,718,7498,USA,STEAM,Cammy,74,75,36,79,49,81,38,59,42,46,26,75,20,69,55,60,25,85,41,71,45,85,42,81,55,74,43,67,78,78,19,77,90,92,14
BakedGod420,100,7495,USA,PSN,Birdie,81,78,14,100,3,90,11,100,2,100,8,100,1,20,5,0,0,50,6,83,6,72,11,85,7,77,9,100,4,100,1,90,10,100,2
Negrete,440,7550,BRA,PSN,R. Mika,69,100,1,57,21,50,16,75,8,100,14,63,19,74,39,60,10,82,41,59,37,65,32,70,67,66,39,100,7,62,8,72,61,60,20
rng505,580,7977,JPN,PSN,Ryu,67,88,9,45,24,50,32,62,43,80,25,65,20,46,26,91,12,79,29,66,51,79,39,46,76,80,36,88,18,79,43,75,74,60,23
SF5-Save,804,8475,KOR,PSN,Dhalsim,73,84,19,80,36,82,52,85,35,56,32,45,22,61,55,71,14,77,71,71,80,66,48,71,88,71,38,79,49,61,39,78,107,84,19
Doctor-Gameneo,120,7719,USA,PSN,Fang,85,100,3,100,12,66,6,100,2,83,6,61,13,100,8,100,1,77,9,100,13,100,5,83,6,55,9,80,5,100,2,93,15,80,5
Kim1234,544,8448,JPN,STEAM,Dictator,77,87,8,72,11,76,21,60,23,72,25,91,24,83,36,75,4,83,65,76,46,78,38,80,62,85,40,80,35,73,26,66,68,75,12
Lucius_RnK,264,8026,FRA,PSN,Chun Li,87,100,3,100,7,83,12,85,7,80,10,81,11,73,26,66,3,94,19,100,14,100,10,85,20,84,13,66,12,100,10,100,28,87,8
etanim,1797,8815,JPN,PSN,Chun Li,77,89,65,71,69,73,102,64,112,81,71,68,64,73,141,80,41,80,168,81,142,84,111,71,134,74,121,84,88,71,80,82,241,91,46
sousuk0130,367,7535,JPN,PSN,Claw,64,83,6,66,9,53,13,61,26,72,25,50,16,62,24,71,14,57,21,77,35,74,27,60,40,50,26,72,22,53,13,75,41,33,9
Leeito94,350,7633,ARG,PSN,Dictator,78,95,20,21,14,91,23,83,12,56,23,66,18,81,33,40,5,77,27,100,22,73,34,70,30,78,14,81,11,100,7,91,56,100,1
ThePrincess,409,8296,USA,PSN,Fang,77,70,34,92,26,54,22,100,3,83,12,83,12,65,26,100,2,71,35,96,25,87,31,77,58,71,28,75,16,42,7,78,52,85,20
liquidnuckledu,233,7840,USA,PSN,R. Mika,86,92,14,85,7,0,0,69,13,100,2,85,7,71,7,100,6,85,21,100,5,78,14,85,7,100,14,0,0,100,6,76,13,100,1
Parodox102,342,7510,GBR,STEAM,Ryu,66,100,6,55,18,55,9,63,11,60,15,33,6,58,34,37,8,69,23,73,19,66,21,77,31,58,24,72,11,83,12,70,31,69,13
ShinLad,277,7498,USA,PSN,Cammy,78,100,2,86,23,78,14,58,12,69,13,40,10,77,18,92,13,78,19,87,16,81,22,88,18,81,22,59,22,72,11,86,30,90,11
8inch_tablet,450,7522,JPN,STEAM,Dhalsim,72,100,2,50,18,65,23,70,24,50,16,77,18,74,27,69,13,78,57,70,40,74,27,78,33,78,28,58,31,70,31,82,50,83,12
denkiyasan_1212,274,9125,JPN,PSN,Dictator,86,83,6,100,4,80,20,85,21,87,16,75,8,100,13,83,6,93,32,100,22,72,18,95,22,72,25,83,12,91,12,83,30,85,7
BigGods-Cabeca,128,7492,BRA,PSN,Ryu,77,100,3,66,9,83,12,0,0,100,4,50,8,20,5,100,1,69,13,84,26,87,8,100,2,60,10,100,1,100,6,85,20,0,0
456_ht,837,8132,JPN,PSN,Birdie,75,66,6,77,40,79,34,62,61,78,32,66,33,82,68,77,31,84,53,73,68,78,64,80,62,67,58,78,74,68,50,73,80,78,23
TENberetta,340,8077,ALB,PSN,Dhalsim,80,83,6,90,11,86,23,88,25,61,18,100,7,77,18,85,14,88,25,75,32,83,18,79,43,82,23,74,27,81,11,75,29,83,6
Flexcy,219,7589,OTH,STEAM,Ken,78,0,1,83,12,58,24,75,8,80,5,60,10,75,16,100,1,88,17,75,12,66,15,80,10,72,11,75,12,83,6,98,52,25,4
pomesama,218,7502,JPN,PSN,Chun Li,74,0,0,100,6,62,16,50,10,66,12,80,5,81,16,83,6,86,23,70,17,78,14,72,18,78,14,55,9,60,20,86,30,100,1
